period,cusip,shrs,value_thousands,n_holders
2023-03-31,298736109,47205817.0000,4884296006.0000,495
2023-03-31,29975E109,81872925.0000,661390676.0000,230
2023-03-31,G3223R108,36977287.0000,11550239844.0000,863
2023-03-31,30034W106,192048512.0000,10238605206.0000,930
2023-03-31,30041R108,17830200.0000,235691366.0000,178
2023-03-31,30050B101,110867714.0000,3325122456.0000,362
2023-03-31,30057T105,103002314.0000,4701544299.0000,441
2023-03-31,30161Q104,277062976.0000,4654645299.0000,531
2023-03-31,30214U102,44934323.0000,4103664434.0000,541
2023-03-31,30225T102,130624444.0000,18889177394.0000,864
2023-03-31,30226D106,113058772.0000,1968589051.0000,412
2023-03-31,302301106,60750224.0000,442837593.0000,250
2023-03-31,302520101,276974802.0000,3043742848.0000,537
2023-03-31,303075105,33087425.0000,12237748507.0000,1032
2023-03-31,303250104,22414661.0000,13746777905.0000,899
2023-03-31,309627107,13925312.0000,157689172.0000,171
2023-03-31,311900104,439484695.0000,22191033493.0000,1359
2023-03-31,31189P102,110996011.0000,580527674.0000,271
2023-03-31,313745101,70675720.0000,6627419698.0000,621
2023-03-31,313855108,55814568.0000,2520277411.0000,365
2023-03-31,31572Q808,75536241.0000,1346214576.0000,259
2023-03-31,48282T104,11117342.0000,2144003116.0000,298
2023-03-31,483548103,24080669.0000,536283241.0000,216
2023-03-31,48238T109,114116043.0000,1522652163.0000,298
2023-03-31,48576U106,84515658.0000,308240098.0000,193
2023-03-31,48242W106,140720208.0000,7268712607.0000,521
2023-03-31,48716P108,43896594.0000,266371032.0000,179
2023-03-31,488152208,27907041.0000,435806930.0000,229
2023-03-31,489170100,85671926.0000,2141487031.0000,300
2023-03-31,492327101,21968206.0000,856862699.0000,196
2023-03-31,49338L103,149163806.0000,20698019013.0000,1281
2023-03-31,49372L100,59201457.0000,171894690.0000,188
2023-03-31,493732101,18441703.0000,1047358596.0000,268
2023-03-31,49427F108,108574345.0000,3240773696.0000,439
2023-03-31,49428J109,16978017.0000,354885419.0000,225
2023-03-31,494274103,25090621.0000,234707729.0000,165
2023-03-31,49705R105,43230673.0000,264043388.0000,104
2023-03-31,497266106,56468542.0000,3668102499.0000,412
2023-03-31,49803T300,206610093.0000,3889505660.0000,452
2023-03-31,48251W104,470561973.0000,21982765537.0000,1000
2023-03-31,50015M109,40952932.0000,234395303.0000,190
2023-03-31,50050N103,65962362.0000,2666052333.0000,494
2023-03-31,500643200,48569291.0000,2355575433.0000,425
2023-03-31,50105F105,18729086.0000,159246605.0000,188
2023-03-31,501147102,20957761.0000,1479598521.0000,244
2023-03-31,50127T109,72214158.0000,815193695.0000,214
2023-03-31,501575104,56298187.0000,1405712588.0000,208
2023-03-31,505336107,41638534.0000,1095619856.0000,339
2023-03-31,511637100,38366160.0000,548144534.0000,255
2023-03-31,511656100,20493711.0000,1156276041.0000,322
2023-03-31,513847103,16463004.0000,3052151422.0000,456
2023-03-31,71944F106,49913291.0000,1366996321.0000,313
2023-03-31,71943U104,225088271.0000,3184279095.0000,514
2023-03-31,72147K108,40975394.0000,844593649.0000,326
2023-03-31,723484101,96724168.0000,6791719399.0000,740
2023-03-31,72352L106,492836981.0000,12002283643.0000,937
2023-03-31,724078100,11722356.0000,1352863893.0000,368
2023-03-31,724479100,107950467.0000,387805946.0000,360
2023-03-31,69343T107,17027185.0000,1105645044.0000,361
2023-03-31,72703X106,115794412.0000,444465193.0000,234
2023-03-31,729132100,25551487.0000,2194136526.0000,344
2023-03-31,730541109,62700781.0000,426238390.0000,159
2023-03-31,731916409,4981054.0000,9173167.0000,108
2023-03-31,737446104,51872565.0000,4021345745.0000,515
2023-03-31,737630103,69487899.0000,3051000241.0000,478
2023-03-31,739128106,7723896.0000,283592835.0000,168
2023-03-31,739276103,57185557.0000,4404113161.0000,514
2023-03-31,693506107,185528119.0000,23328641035.0000,1356
2023-03-31,91332U101,240855419.0000,7550535004.0000,644
2023-03-31,91336L107,143140863.0000,4652186921.0000,479
2023-03-31,91347P105,35431217.0000,5002773074.0000,566
2023-03-31,91359E105,8898435.0000,401466886.0000,259
2023-03-31,91359V107,19861639.0000,325235362.0000,212
2023-03-31,915271100,21714599.0000,480684999.0000,223
2023-03-31,76009N100,47182950.0000,1095011265.0000,293
2023-03-31,91544A109,25964249.0000,93022909.0000,173
2023-03-31,91680M107,28273815.0000,415430302.0000,358
2023-03-31,91688F104,94349464.0000,987991565.0000,681
2023-03-31,916896103,184780130.0000,510315750.0000,293
2023-03-31,917047102,68935218.0000,1797922008.0000,344
2023-03-31,917286205,20336319.0000,315774977.0000,244
2023-03-31,91851C201,52431679.0000,201601348.0000,235
2023-03-31,91879Q109,38649342.0000,8056285959.0000,701
2023-03-31,921659108,58028813.0000,340321169.0000,264
2023-03-31,92214X106,42379463.0000,733560641.0000,274
2023-03-31,85859N102,92896719.0000,599528523.0000,309
2023-03-31,858586100,17088423.0000,1630175363.0000,302
2023-03-31,85914M107,49588202.0000,1033109658.0000,197
2023-03-31,859241101,24005866.0000,802360164.0000,352
2023-03-31,860630102,86155462.0000,4604233955.0000,544
2023-03-31,860897107,78433167.0000,367842032.0000,252
2023-03-31,861025104,14591098.0000,714729666.0000,227
2023-03-31,86150R107,44492644.0000,351937780.0000,147
2023-03-31,86183P102,26123824.0000,399698294.0000,190
2023-03-31,861896108,15452132.0000,1388081338.0000,324
2023-03-31,86272C103,24421826.0000,1651210395.0000,264
2023-03-31,86333M108,41772929.0000,1526801423.0000,351
2023-03-31,864159108,11484276.0000,581877180.0000,294
2023-03-31,86614U100,120454549.0000,2934572494.0000,369
2023-03-31,86646P103,91368565.0000,931098670.0000,260
2023-03-31,866674104,119558760.0000,14200672322.0000,780
2023-03-31,86722A103,73029051.0000,577802991.0000,313
2023-03-31,8676EP108,97016824.0000,695280546.0000,250
2023-03-31,86800U104,41578307.0000,4070064183.0000,485
2023-03-31,868459108,55272825.0000,1748086001.0000,367
2023-03-31,86881A100,129120955.0000,2375462311.0000,238
2023-03-31,869367102,53249584.0000,235099013.0000,169
2023-03-31,87043Q108,80798501.0000,624136317.0000,216
2023-03-31,871332102,37719474.0000,1634321857.0000,500
2023-03-31,87157D109,36740190.0000,3604188487.0000,472
2023-03-31,87164F105,71981949.0000,1470942205.0000,245
2023-03-31,87161C501,114235240.0000,3333028357.0000,567
2023-03-31,87357P100,19075642.0000,277617670.0000,194
2023-03-31,874054109,152967626.0000,17241326375.0000,1024
2023-03-31,87484T108,107298000.0000,1504899077.0000,303
2023-03-31,875372203,67383925.0000,2604644627.0000,405
2023-03-31,875465106,85436489.0000,1522503241.0000,384
2023-03-31,876030107,214441875.0000,8418599082.0000,854
2023-03-31,87724P106,103064130.0000,3624243362.0000,472
2023-03-31,87162W100,79725350.0000,7406851055.0000,490
2023-03-31,87874R100,27132644.0000,939530225.0000,292
2023-03-31,87901J105,193717710.0000,2971184551.0000,488
2023-03-31,879080109,16263020.0000,266822342.0000,157
2023-03-31,879369106,45584276.0000,8459956096.0000,761
2023-03-31,87968A104,205296844.0000,242204812.0000,291
2023-03-31,88023U101,171219208.0000,6356263117.0000,493
2023-03-31,88033G407,97498269.0000,5154484095.0000,528
2023-03-31,25065K104,48170271.0000,250019716.0000,175
2023-03-31,904677200,13060762.0000,100989300.0000,140
2023-03-31,278715206,19624622.0000,240341918.0000,223
2023-03-31,290846203,27509954.0000,27983524.0000,87
2023-03-31,29415B103,62609348.0000,1733072854.0000,257
2023-03-31,294268107,24878626.0000,1164113676.0000,291
2023-03-31,30052F100,35210810.0000,251767307.0000,247
2023-03-31,30234E104,3335980.0000,10949388.0000,41
2023-03-31,817070501,3997552.0000,191331303.0000,177
2023-03-31,83425V104,73818282.0000,522482270.0000,114
2023-03-31,10920V107,451090501.0000,97330560.0000,141
2023-03-31,85569C107,2384624.0000,7278823.0000,48
2023-03-31,004397105,59325302.0000,156894290.0000,154
2023-03-31,00760J108,18669303.0000,535066459.0000,198
2023-03-31,02607T109,75916021.0000,435359320.0000,348
2023-03-31,885260109,4807203.0000,21679665.0000,71
2023-03-31,00973N102,35761573.0000,91346326.0000,175
2023-03-31,019330109,9879810.0000,327402350.0000,184
2023-03-31,363225202,7178834.0000,13740145.0000,80
2023-03-31,030111207,13117009.0000,57539061.0000,99
2023-03-31,030506109,15377162.0000,755849880.0000,253
2023-03-31,04537Y109,8872526.0000,2895817.0000,60
2023-03-31,04546C205,23356289.0000,114924999.0000,146
2023-03-31,04634X103,71978672.0000,28168245.0000,137
2023-03-31,36254L209,4959543.0000,2529614.0000,49
2023-03-31,05356F105,166741783.0000,87378918.0000,99
2023-03-31,42727J102,7870925.0000,19547326.0000,82
2023-03-31,45665G303,19349994.0000,2939323.0000,70
2023-03-31,652526203,5222207.0000,62665884.0000,93
2023-03-31,128246105,14292285.0000,377477758.0000,232
2023-03-31,138103106,53935444.0000,272066424.0000,172
2023-03-31,677719106,636472.0000,11657430.0000,35
2023-03-31,93148P102,25248919.0000,1792839606.0000,359
2023-03-31,18914F103,122551047.0000,94919204.0000,217
2023-03-31,96145W103,22538885.0000,238395623.0000,84
2023-03-31,197641103,14668299.0000,226871720.0000,165
2023-03-31,20786W107,26169982.0000,414938403.0000,225
2023-03-31,747906501,60048274.0000,67519268.0000,94
2023-03-31,75062E106,2559118.0000,3463284.0000,61
2023-03-31,76680V108,89074048.0000,163854377.0000,167
2023-03-31,783754104,32985293.0000,1095318552.0000,275
2023-03-31,14147L108,7050398.0000,10332560.0000,70
2023-03-31,45780L104,21995057.0000,238057426.0000,228
2023-03-31,62526P109,245509009.0000,31728438.0000,177
2023-03-31,73730P108,43966250.0000,121961182.0000,139
2023-03-31,87650L103,20043460.0000,216860859.0000,117
2023-03-31,92332V107,49569277.0000,1440742701.0000,219
2023-03-31,55003A108,20456976.0000,48310556.0000,75
2023-03-31,178867107,7791020.0000,123859726.0000,140
2023-03-31,45816D100,3535785.0000,92188261.0000,89
2023-03-31,34631B101,41872320.0000,786794369.0000,194
2023-03-31,893617209,279528.0000,9866001.0000,60
2023-03-31,708430103,1305025.0000,24329012.0000,53
2023-03-31,88162F105,78290837.0000,195444788.0000,229
2023-03-31,374297109,42189735.0000,1353672149.0000,356
2023-03-31,531229706,8032671.0000,260097513.0000,188
2023-03-31,665531307,84035107.0000,2257336138.0000,404
2023-03-31,415858109,20980421.0000,389460550.0000,151
2023-03-31,73642K106,41370814.0000,842094731.0000,252
2023-03-31,35180X105,18393865.0000,466654313.0000,211
2023-03-31,92823T108,10510211.0000,15638875.0000,88
2023-03-31,53222K205,2817196.0000,6147350.0000,62
2023-03-31,44916K106,9218533.0000,13074724.0000,40
2023-03-31,654484609,1351057.0000,7985945.0000,36
2023-03-31,29280W109,46500040.0000,93728276.0000,148
2023-03-31,68062P106,33384770.0000,101587018.0000,83
2023-03-31,82933R100,35791080.0000,42993081.0000,95
2023-03-31,70465T107,7616465.0000,42526738.0000,86
2023-03-31,927330100,43088681.0000,13711246.0000,97
2023-03-31,04367G103,26439929.0000,15386041.0000,100
2023-03-31,126638105,10322903.0000,90306669.0000,75
2023-03-31,3621LQ109,19114531.0000,39395046.0000,144
2023-03-31,40609P105,11255912.0000,86265218.0000,89
2023-03-31,4525EP101,24723323.0000,32222784.0000,75
2023-03-31,46222L108,80553776.0000,474032372.0000,218
2023-03-31,65290E101,48197400.0000,1604017720.0000,163
2023-03-31,H5919C104,109578524.0000,3224755779.0000,276
2023-03-31,73939C106,125491331.0000,2301936703.0000,255
2023-03-31,79589L106,146528656.0000,2718532685.0000,242
2023-03-31,G87110105,413619621.0000,4416619043.0000,432
2023-03-31,92686J106,65948851.0000,937635704.0000,248
2023-03-31,350060109,7171191.0000,74908499.0000,75
2023-03-31,68621T102,16001877.0000,372218344.0000,186
2023-03-31,92919F103,14047582.0000,42153534.0000,13
2023-03-31,23257D103,88557938.0000,704522501.0000,187
2023-03-31,517125100,38403417.0000,170325534.0000,85
2023-03-31,604749101,34369968.0000,821127390.0000,166
2023-03-31,007002108,38967975.0000,219298960.0000,157
2023-03-31,008064107,25977819.0000,488925699.0000,92
2023-03-31,72814P109,29890924.0000,58092336.0000,136
2023-03-31,927926303,35953244.0000,17799464.0000,44
2023-03-31,760416107,31010721.0000,35060507.0000,143
2023-03-31,54738L109,16253238.0000,405874622.0000,207
2023-03-31,83191H107,7458474.0000,11101138.0000,59
2023-03-31,133034108,9985837.0000,322165068.0000,201
2023-03-31,30219Q106,33917375.0000,261429502.0000,133
2023-03-31,07272M107,6878799.0000,110660027.0000,99
2023-03-31,17322U207,14326774.0000,15280073.0000,68
2023-03-31,29259W700,11242050.0000,24284730.0000,34
2023-03-31,30049A107,18431720.0000,99010078.0000,183
2023-03-31,34417J104,5292821.0000,12133461.0000,60
2023-03-31,44862P109,32509681.0000,12355049.0000,97
2023-03-31,00534A102,59881653.0000,67147763.0000,102
2023-03-31,711040105,2197806.0000,90707773.0000,99
2023-03-31,71377E105,51462845.0000,157331211.0000,75
2023-03-31,74587V107,27775789.0000,51360498.0000,102
2023-03-31,82536T107,7861608.0000,296702357.0000,146
2023-03-31,85916J409,34153124.0000,66876246.0000,85
2023-03-31,482738101,12867656.0000,141481083.0000,90
2023-03-31,63942X106,38770435.0000,254553419.0000,148
2023-03-31,67577R102,3457082.0000,12194320.0000,49
2023-03-31,67623L109,148175821.0000,78403319.0000,82
2023-03-31,00788A105,10605429.0000,4151047.0000,49
2023-03-31,02156U101,14950673.0000,12426248.0000,90
2023-03-31,127537207,20134459.0000,75890131.0000,79
2023-03-31,092667104,37253427.0000,123699909.0000,127
2023-03-31,21077P108,1286761.0000,683373.0000,22
2023-03-31,53960E106,21085207.0000,12942147.0000,74
2023-03-31,46005L101,30404475.0000,719432059.0000,277
2023-03-31,578605107,7657025.0000,109664164.0000,104
2023-03-31,665809109,3062978.0000,32990608.0000,45
2023-03-31,842873101,6219088.0000,149359850.0000,130
2023-03-31,858927106,27396537.0000,644243024.0000,224
2023-03-31,83190L208,8428527.0000,173492048.0000,152
2023-03-31,83542D102,101894213.0000,74942477.0000,113
2023-03-31,126402106,12476171.0000,1454843211.0000,280
2023-03-31,229790100,75456012.0000,126189399.0000,133
2023-03-31,236272100,38604912.0000,127003863.0000,213
2023-03-31,25271C201,87555600.0000,852909917.0000,216
2023-03-31,80359A106,25030706.0000,11041718.0000,94
2023-03-31,811707801,68417232.0000,1366910494.0000,360
2023-03-31,816307300,83819688.0000,164176405.0000,172
2023-03-31,826917106,31624418.0000,162182632.0000,215
2023-03-31,83193G107,101054316.0000,203591728.0000,149
2023-03-31,25703A104,81231977.0000,30699772.0000,106
2023-03-31,83422N105,45359634.0000,132151336.0000,210
2023-03-31,83444K105,115423157.0000,256049457.0000,178
2023-03-31,848560108,35381987.0000,23122232.0000,110
2023-03-31,85256A109,108587047.0000,784840711.0000,199
2023-03-31,86627T108,20802885.0000,33502279.0000,104
2023-03-31,29479A108,77889528.0000,173809792.0000,165
2023-03-31,307359109,109533486.0000,36829200.0000,105
2023-03-31,313148306,7158736.0000,817769067.0000,295
2023-03-31,87583X109,69766790.0000,218077688.0000,135
2023-03-31,073463101,63563433.0000,29031328.0000,115
2023-03-31,88339P101,53336640.0000,62409391.0000,195
2023-03-31,890110109,9215201.0000,586631264.0000,230
2023-03-31,320218100,8759876.0000,280576152.0000,212
2023-03-31,359616109,59976346.0000,162678798.0000,171
2023-03-31,913456109,19458754.0000,974130875.0000,270
2023-03-31,91688R108,130407859.0000,132182984.0000,129
2023-03-31,81663L101,443959480.0000,161371132.0000,107
2023-03-31,38341P102,77628139.0000,75910392.0000,148
2023-03-31,39536G105,36291337.0000,9910882.0000,84
2023-03-31,91854V107,172065164.0000,163286303.0000,139
2023-03-31,92243A200,33971656.0000,23576852.0000,146
2023-03-31,91822J103,91586726.0000,26195389.0000,128
2023-03-31,92671V106,166238347.0000,69690313.0000,99
2023-03-31,940610108,11757219.0000,384877333.0000,234
2023-03-31,13781Y103,131564468.0000,110887434.0000,215
2023-03-31,413197104,51022822.0000,1594810489.0000,320
2023-03-31,42329E105,31240152.0000,6337323.0000,110
2023-03-31,431636109,195257791.0000,1568106612.0000,264
2023-03-31,98422E103,49248389.0000,74136896.0000,125
2023-03-31,142038108,44787127.0000,231825197.0000,185
2023-03-31,156504300,28680240.0000,1715503763.0000,314
2023-03-31,90137F103,41312760.0000,30722357.0000,148
2023-03-31,90138Q108,134536024.0000,294846390.0000,220
2023-03-31,44486Q103,12019018.0000,36184383.0000,101
2023-03-31,44951Y102,47273830.0000,36372712.0000,131
2023-03-31,750481103,90042079.0000,1136722665.0000,242
2023-03-31,70788V102,16905614.0000,656603061.0000,262
2023-03-31,75574U101,58155637.0000,545808238.0000,302
2023-03-31,000899104,164201100.0000,491729071.0000,230
2023-03-31,01675A109,37369546.0000,42607301.0000,178
2023-03-31,01748X102,15266397.0000,1167884124.0000,310
2023-03-31,019818103,39552625.0000,130242470.0000,146
2023-03-31,76156B107,51078632.0000,1208491853.0000,305
2023-03-31,G76279101,459010780.0000,3365763121.0000,197
2023-03-31,77936F103,144486090.0000,526960307.0000,156
2023-03-31,02217A102,71886434.0000,366887498.0000,171
2023-03-31,03783T103,52942611.0000,25985574.0000,171
2023-03-31,51818V106,54592826.0000,40732934.0000,103
2023-03-31,535555106,9500708.0000,1346432218.0000,298
2023-03-31,03879J100,62047981.0000,179225804.0000,157
2023-03-31,03940C100,45434449.0000,1304103103.0000,183
2023-03-31,04683R106,56419386.0000,164242044.0000,181
2023-03-31,05070N103,46942400.0000,5283255.0000,125
2023-03-31,053604104,75983736.0000,306363552.0000,143
2023-03-31,57064N102,108021995.0000,102078078.0000,126
2023-03-31,577096100,78652483.0000,204362506.0000,284
2023-03-31,68622E104,47723570.0000,69213620.0000,135
2023-03-31,082490103,69996237.0000,71624765.0000,156
2023-03-31,09077J107,128873608.0000,34998873.0000,110
2023-03-31,09352U108,123816299.0000,106220759.0000,148
2023-03-31,57777K106,64458513.0000,446330780.0000,173
2023-03-31,59134N104,34725480.0000,13023580.0000,148
2023-03-31,59516C106,64512962.0000,69982898.0000,159
2023-03-31,60471A101,153077807.0000,1125818255.0000,174
2023-03-31,60938K106,53791135.0000,24918929.0000,97
2023-03-31,159610104,34965409.0000,37654465.0000,111
2023-03-31,177835105,10356973.0000,853330068.0000,263
2023-03-31,18453H106,489418380.0000,553327629.0000,239
2023-03-31,62548M100,510416556.0000,509684060.0000,169
2023-03-31,63909J108,44443093.0000,98897201.0000,101
2023-03-31,65249B208,77235465.0000,1196016533.0000,329
2023-03-31,45783C101,91973227.0000,59024496.0000,104
2023-03-31,67079U108,41468955.0000,39554917.0000,123
2023-03-31,67080N101,137255738.0000,221863367.0000,182
2023-03-31,68622D106,39831938.0000,130407814.0000,176
2023-03-31,687793109,147561480.0000,907751978.0000,204
2023-03-31,483007704,16047954.0000,1135377652.0000,277
2023-03-31,21077C107,245954190.0000,102182143.0000,194
2023-03-31,700658107,8604071.0000,992014634.0000,244
2023-03-31,71601V105,140387657.0000,1166348022.0000,294
2023-03-31,71639T106,25998926.0000,247222108.0000,208
2023-03-31,74374T109,131347786.0000,177005414.0000,231
2023-03-31,74765K105,43073134.0000,73629243.0000,137
2023-03-31,15673X101,10284182.0000,4682574.0000,56
2023-03-31,16934W106,51428259.0000,57897436.0000,137
2023-03-31,18538R103,15040959.0000,404041514.0000,248
2023-03-31,36120Q101,6840797.0000,67532816.0000,92
2023-03-31,049430101,15114773.0000,152685406.0000,98
2023-03-31,05153U107,25035182.0000,223958247.0000,77
2023-03-31,09631H100,1485246.0000,25241946.0000,103
2023-03-31,224408104,760697.0000,49052648.0000,42
2023-03-31,126677103,475160605.0000,3929511951.0000,143
2023-03-31,699374302,23256019.0000,56477647.0000,83
2023-03-31,084310101,51751865.0000,56658487.0000,148
2023-03-31,89421B109,13453116.0000,1052492433.0000,229
2023-03-31,57637H103,16778884.0000,445016977.0000,224
2023-03-31,576853105,21653248.0000,98431489.0000,122
2023-03-31,58844R108,10257836.0000,241641071.0000,198
2023-03-31,597742105,13237466.0000,262521658.0000,183
2023-03-31,598511103,10178935.0000,238570637.0000,145
2023-03-31,600551204,8968984.0000,263801805.0000,147
2023-03-31,624580106,14467436.0000,378983148.0000,226
2023-03-31,64031N108,13239806.0000,1120505409.0000,235
2023-03-31,64131A105,18435094.0000,46980412.0000,94
2023-03-31,65406E102,5886099.0000,305901939.0000,185
2023-03-31,68162K106,9129554.0000,428391590.0000,211
2023-03-31,68339B104,36067309.0000,296340906.0000,166
2023-03-31,68280L101,9641304.0000,258518016.0000,117
2023-03-31,69036R863,35535635.0000,125736459.0000,110
2023-03-31,700885106,5154307.0000,74604962.0000,103
2023-03-31,704699107,12914412.0000,305010514.0000,211
2023-03-31,71367G102,34686646.0000,285919215.0000,155
2023-03-31,723561106,6082453.0000,43556253.0000,66
2023-03-31,73931J109,23232550.0000,78488158.0000,67
2023-03-31,740367404,11148805.0000,489329904.0000,285
2023-03-31,74052F108,23325612.0000,448327836.0000,235
2023-03-31,74640Y106,97106875.0000,249789347.0000,169
2023-03-31,74727A104,11136389.0000,455765291.0000,198
2023-03-31,747301109,16487291.0000,58777276.0000,125
2023-03-31,43785V102,15419743.0000,247932456.0000,213
2023-03-31,437872104,9569390.0000,209439419.0000,151
2023-03-31,440407104,25455339.0000,254825677.0000,223
2023-03-31,75524W108,17203760.0000,297117750.0000,185
2023-03-31,76665T102,10118982.0000,380558421.0000,98
2023-03-31,769397100,13177272.0000,64383077.0000,81
2023-03-31,78413P101,14823672.0000,72417822.0000,86
2023-03-31,444144109,27870782.0000,196048612.0000,186
2023-03-31,453838609,16440245.0000,250569868.0000,206
2023-03-31,461148108,18296560.0000,127540613.0000,85
2023-03-31,533535100,21757579.0000,112627883.0000,95
2023-03-31,886029206,31729087.0000,655451908.0000,224
2023-03-31,89457R101,14692886.0000,75418723.0000,100
2023-03-31,91388P105,6473377.0000,160462062.0000,145
2023-03-31,913915104,24965784.0000,172081083.0000,141
2023-03-31,92335C106,14908223.0000,75164187.0000,110
2023-03-31,92645B103,51288593.0000,1328817482.0000,259
2023-03-31,53946R106,19900636.0000,24581138.0000,64
2023-03-31,00181T107,12574221.0000,398456256.0000,199
2023-03-31,023576101,13095702.0000,274296245.0000,146
2023-03-31,03062T105,5761987.0000,445202449.0000,187
2023-03-31,03212B103,15801767.0000,96604037.0000,154
2023-03-31,032332504,6547348.0000,59692825.0000,62
2023-03-31,00182C103,10340323.0000,372517889.0000,209
2023-03-31,04041L106,26064247.0000,154007161.0000,146
2023-03-31,516806205,13613581.0000,589189466.0000,260
2023-03-31,92854T100,60656923.0000,451145132.0000,126
2023-03-31,958892101,12046190.0000,83658486.0000,96
2023-03-31,96684W100,24720774.0000,60462382.0000,131
2023-03-31,92846Q107,13885229.0000,250167815.0000,147
2023-03-31,00215F107,10311084.0000,394466742.0000,189
2023-03-31,084656107,196295933.0000,271425587.0000,113
2023-03-31,08579X101,69201262.0000,493617645.0000,215
2023-03-31,095306106,28872149.0000,524648522.0000,136
2023-03-31,096308101,5222057.0000,126677799.0000,136
2023-03-31,09624H208,8043520.0000,510164204.0000,236
2023-03-31,11040G103,26408187.0000,454144015.0000,186
2023-03-31,124411109,18156344.0000,318669496.0000,173
2023-03-31,129500104,31714617.0000,579620696.0000,262
2023-03-31,126128107,11617224.0000,206141734.0000,147
2023-03-31,22766M109,26497144.0000,189258919.0000,179
2023-03-31,234264109,18152229.0000,86424054.0000,109
2023-03-31,257701201,9203057.0000,118731308.0000,143
2023-03-31,26154D100,19356447.0000,250748679.0000,148
2023-03-31,29460X109,9618498.0000,189557749.0000,138
2023-03-31,30052C107,33848803.0000,249334888.0000,177
2023-03-31,30257X104,29525346.0000,734882240.0000,249
2023-03-31,31846B108,138687755.0000,1895377120.0000,155
2023-03-31,318916103,18614683.0000,393487360.0000,175
2023-03-31,32022K102,3666222.0000,38089582.0000,62
2023-03-31,32026V104,39231918.0000,268754909.0000,235
2023-03-31,320557101,6297113.0000,91769782.0000,144
2023-03-31,36116M106,20409954.0000,130036445.0000,177
2023-03-31,390905107,4954484.0000,222421335.0000,157
2023-03-31,421298100,235873153.0000,2695259709.0000,257
2023-03-31,68247W109,5835509.0000,14284162.0000,38
2023-03-31,67109R109,6856886.0000,55047031.0000,82
2023-03-31,68628V308,17690829.0000,42569282.0000,70
2023-03-31,700215304,4625110.0000,15040163.0000,54
2023-03-31,69320M109,5230046.0000,61040895.0000,96
2023-03-31,733245104,65842123.0000,91638823.0000,135
2023-03-31,749527107,56763519.0000,636047528.0000,176
2023-03-31,83089J108,8474476.0000,82095906.0000,131
2023-03-31,00974H104,13349435.0000,103046184.0000,91
2023-03-31,014752109,1712739.0000,301096377.0000,163
2023-03-31,02128L106,22881603.0000,337571549.0000,192
2023-03-31,02927U208,9470730.0000,11814332.0000,41
2023-03-31,05614L209,74927877.0000,449244675.0000,173
2023-03-31,09075X108,16664573.0000,21461952.0000,39
2023-03-31,09263B108,42449199.0000,60637042.0000,90
2023-03-31,128126109,26226743.0000,91358797.0000,112
2023-03-31,143905107,10508098.0000,260061608.0000,193
2023-03-31,125141101,21603539.0000,258720651.0000,195
2023-03-31,156492100,20402719.0000,143255908.0000,137
2023-03-31,20848V105,18974157.0000,607026951.0000,243
2023-03-31,226552107,2331108.0000,3601625.0000,32
2023-03-31,232109108,24841357.0000,540383288.0000,205
2023-03-31,268211109,12979775.0000,92812465.0000,116
2023-03-31,28225C806,17401284.0000,110325100.0000,122
2023-03-31,285409108,2247509.0000,18826838.0000,46
2023-03-31,29977X105,168938292.0000,1782780836.0000,122
2023-03-31,30233G209,29084006.0000,82314289.0000,97
2023-03-31,418100103,77770753.0000,1857114048.0000,282
2023-03-31,40416E103,5704322.0000,294247240.0000,191
2023-03-31,44934S206,8217176.0000,9845200.0000,63
2023-03-31,45170X205,14130143.0000,83989725.0000,111
2023-03-31,45685K102,11935191.0000,77046820.0000,89
2023-03-31,457790103,17221758.0000,419520551.0000,139
2023-03-31,479167108,6079709.0000,336825270.0000,200
2023-03-31,500600101,30400513.0000,31218266.0000,80
2023-03-31,501270102,5247538.0000,326781599.0000,141
2023-03-31,516548203,12129141.0000,49458051.0000,84
2023-03-31,532257805,15997247.0000,21256550.0000,47
2023-03-31,532746104,8955922.0000,135820999.0000,103
2023-03-31,50216C108,18738341.0000,233178589.0000,160
2023-03-31,550351100,16792482.0000,101598446.0000,107
2023-03-31,629445206,2754143.0000,203749752.0000,144
2023-03-31,88105P103,67238409.0000,118197596.0000,131
2023-03-31,893529107,6337774.0000,557364974.0000,164
2023-03-31,10258P102,122318996.0000,901016129.0000,212
2023-03-31,917488108,2540840.0000,174657311.0000,134
2023-03-31,92663R105,22095089.0000,149120710.0000,136
2023-03-31,92847W103,25336567.0000,367926072.0000,200
2023-03-31,96924N100,10180044.0000,138669216.0000,121
2023-03-31,98955K104,31137314.0000,118559146.0000,77
2023-03-31,20564W105,43265089.0000,36051213.0000,96
2023-03-31,98888T107,22658106.0000,122955264.0000,398
2023-03-31,17253J106,12140756.0000,23692223.0000,95
2023-03-31,02156V109,48025760.0000,466467231.0000,77
2023-03-31,30049H102,67062509.0000,205337415.0000,168
2023-03-31,23204X103,226293611.0000,1524933188.0000,145
2023-03-31,442487401,2369428.0000,124866462.0000,128
2023-03-31,52472M101,6137594.0000,126148410.0000,104
2023-03-31,65342T106,4985131.0000,56314889.0000,79
2023-03-31,900450206,11017485.0000,99037307.0000,139
2023-03-31,G98239109,289396838.0000,3185102683.0000,288
2023-03-31,050734201,1926683.0000,11698582.0000,34
2023-03-31,06777U101,19688975.0000,20766729.0000,97
2023-03-31,18270P109,29662661.0000,241079161.0000,164
2023-03-31,496904202,10095487.0000,82498073.0000,48
